"id-missouri-mo_vtds20-34-StateSenateDistricts",assignment
29077000067,2
29077000050,2
29077000066,2
29077000063,2
29077000060,2
29077000061,2
29077000048,2
29077000034,2
29077000055,2
29077000051,2
29077000064,2
29077000002,2
29077000103,2
29077000112,2
29119000006,3
29119000007,3
29119000013,3
29119000012,3
29119000003,3
29119000002,3
29119000016,3
29119000018,3
29119000009,3
29119000015,3
29119000008,3
29119000017,3
29119000020,3
29119000014,3
29119000004,3
29119000010,3
29119000011,3
29119000019,3
29009000014,3
29009000008,3
29009000022,3
29009000006,3
29009000021,3
29009000002,3
29009000020,3
29009000019,3
29009000009,3
29009000004,3
29009000015,3
29009000023,3
29009000018,3
29009000011,3
29009000003,3
29009000017,3
29009000013,3
29009000012,3
29009000016,3
29009000005,3
29009000007,3
29009000010,3
29209003889,3
29209003903,3
29209003898,3
29209003908,3
29209003900,3
29209003938,3
29209003933,3
29209003935,3
29209003698,3
29209003751,3
29209003782,3
29209003877,3
29209003699,3
29209003723,3
29209003701,3
29209003730,3
29209003800,3
29209003794,3
29209003842,3
29209003814,3
29213000018,3
29213000003,3
29213000020,3
29213000004,3
29213000022,3
29213000006,3
29213000012,3
29213000005,3
29213000019,3
29213000011,3
29213000016,3
29213000014,3
29213000013,3
29213000015,3
29213000009,3
29213000002,3
29213000024,3
29213000017,3
29213000021,3
29213000010,3
29213000023,3
29109000010,3
29109000009,3
29109000019,3
29109000002,3
29109000007,3
29109000013,3
29109000003,3
29109000008,3
29109000017,3
29109000018,3
29109000004,3
29109000020,3
29109000006,3
29109000005,3
29109000012,3
29109000015,3
29109000014,3
29109000011,3
29109000016,3
29077000102,4
29077000108,4
29077000109,4
29077000011,4
29077000035,4
29077000070,4
29077000106,4
29077000099,4
29077000105,4
29077000017,4
29077000043,4
29077000013,4
29077000059,4
29077000072,4
29077000058,4
29077000037,4
29077000018,4
29077000014,4
29077000040,4
29077000016,4
29077000012,4
29077000015,4
29077000041,4
29077000111,4
29077000107,4
29077000104,4
29077000098,4
29077000036,4
29077000096,4
29077000097,4
29077000114,4
29077000113,4
29077000101,4
29077000110,4
29043000020,4
29043000012,4
29043000011,4
29043000032,4
29043000025,4
29043000031,4
29043000024,4
29043000023,4
29043000017,4
29043000018,4
29043000004,4
29043000003,4
29043000021,33
29043000022,33
29043000008,4
29051000003,5
29051000005,5
29051000006,5
29051000041,5
29051000043,5
29051000042,5
29051000035,5
29051000051,5
29051000052,5
29051000002,5
29051000040,5
2905116-3-9,5
29051000032,5
2905116-411,5
2905116-3-8,5
2905116-3-7,5
2905116-410,5
2905116-514,5
2905116-2-5,5
2905116-2-6,5
29051000016,5
29051000009,5
2905116-512,5
29051000010,5
29051000039,5
29051000038,5
29051000037,5
29051000036,5
29051000034,5
29051000007,5
29051000004,5
2905116-513,5
29051000050,5
29051000008,5
29051000049,5
29051000044,5
29051000045,5
29051000011,5
29051000046,5
2905116-001,5
2905116-002,5
29131000029,5
29131000005,5
29131000008,5
29131000019,5
29131000009,5
29131000016,5
29131000012,5
29131000023,5
29131000013,5
29131000018,5
29131000011,5
29131000020,5
29135000006,5
29135000010,5
29135000012,5
29135000005,5
29135000004,5
29135000008,5
29135000002,5
29135000003,5
29135000013,5
29135000011,5
29135000009,5
29135000007,5
29141000002,5
29141000013,5
29141000014,5
29141000016,5
29141000015,5
29141000004,5
29141000008,5
29141000009,5
29141000003,5
29141000010,5
29141000007,5
29141000011,5
29141000012,5
29141000005,5
29141000017,5
29141000006,5
29043000013,33
29029000004,5
29029000023,5
29029000019,5
29029000021,5
29029000024,5
29029000012,5
29029000022,5
29029000009,5
29029000005,5
29029000003,5
29029000017,5
29029000013,5
29029000016,5
29029000018,5
29029000008,5
29029000010,5
29029000007,5
29029000015,5
29029000020,5
29029000011,5
29029000006,5
29029000025,5
29029000002,5
29029000014,5
29037000010,6
29037000040,6
29037000041,6
29037000045,6
29037000038,6
29037000031,6
29037000029,10
29037000036,6
29037000008,6
29037000043,6
29037000042,6
29037000044,6
29037000039,6
29037000046,6
29037000037,6
29037000027,6
29037000033,6
29037000032,6
29037000030,6
29037000047,6
29037000034,6
29037000035,6
29037000026,6
29037000025,6
29037000009,6
29037000028,6
29037000024,6
29037000020,6
29037000022,6
29037000021,6
29037000023,6
29037000013,6
29037000012,6
29037000011,6
29037000014,6
29037000016,6
29037000015,6
29037000007,6
29037000006,6
29037000005,6
29037000004,6
29037000019,6
29037000018,6
29037000003,6
29037000017,6
29037000002,6
29037000001,6
29101000015,6
29101000005,6
29101000016,6
29101000017,6
29101000008,6
29101000003,6
29101000021,6
29101000018,6
29101000019,6
29101000007,6
29101000012,6
29101000010,6
29101000009,6
29101000013,6
29101000014,6
29101000011,6
29101000006,6
29101000004,6
29101000002,6
29101000020,6
29083000003,6
29083000004,6
2908316-020,6
29083000013,6
29083000015,6
29083000010,6
29083000002,6
29083000009,6
29083000011,6
29047000040,7
29047000020,7
29047000048,7
29047000016,7
29047000054,7
29047000053,7
29047000035,7
29047000029,7
29047000011,7
29047000046,7
29047000030,7
29047000032,7
29047000014,7
29047000010,7
29047000017,7
29047000050,7
29047000041,7
29047000045,7
29047000052,7
29047000051,7
29047000049,7
29047000021,7
29047000031,7
29047000024,7
29047000023,7
29047000022,7
29047000009,7
29047000012,7
29047000013,7
29047000015,7
29047000038,7
29047000034,7
29047000044,7
