"id-virginia-va_adj_vtds20-40-StateSenateDistricts",assignment
51005005401,37
51760000111,27
51760000112,27
51760000604,26
51760000105,27
51760000309,26
51760000301,26
51760000703,25
51760000102,27
51760000412,27
51760000404,27
51760000602,25
51760000708,25
51760000609,25
51760000114,27
51760000113,27
51760000707,25
51760000503,27
51760000702,25
51760000207,27
51760000204,27
51760000501,27
51760000510,25
51760000811,25
51760000402,27
51760000504,27
51760000802,25
51760000909,25
51760000505,27
51760000911,25
51760000610,25
51760000910,25
51760000810,25
51760000903,25
51760000509,25
51760000902,25
51760000701,25
51760000101,27
51760000414,27
51760000410,27
51760000306,26
51760000213,26
51760000705,25
51760000305,26
51760000302,26
51760000208,27
51760000706,25
51760000908,25
51760000206,27
51760000214,27
51760000307,26
51760000308,26
51760000303,26
51760000508,27
51760000603,26
51760000310,26
51760000606,26
51760000304,26
51760000409,27
51760000812,25
51760000806,25
51760000607,25
51760000413,27
51760000203,26
51760000814,25
51760000104,27
51760000106,27
51031000302,31
51031000303,31
51031000301,31
51031000202,31
51031000702,31
51031000701,31
51031000703,31
51031000501,31
51031000601,31
51031000602,31
51031000102,31
51031000101,31
51031000402,31
51031000401,31
51031000502,31
51031000201,31
51735000003,16
51735000002,16
51735000001,16
51685000003,8
51161000101,37
51161000106,36
51161000107,37
51161000108,37
51161000103,37
51161000105,36
51161000102,37
51161000104,36
51161000505,36
51161000506,36
51161000503,36
51161000504,36
51161000501,36
51161000507,36
51161000406,36
51161000502,36
51161000405,36
51161000402,36
51161000403,36
51161000305,36
51161000302,36
51161000301,36
51161000306,36
51161000404,36
51161000304,36
51161000303,36
51161000204,36
51161000206,36
51161000202,36
51161000201,36
51161000203,36
51161000205,36
51027000201,39
51017000301,33
51017000401,33
51017000501,33
51017000101,33
51017000102,33
51017000302,33
51017000201,33
51800000702,23
51800000704,23
51800000204,23
51800000504,23
51800000502,23
51800000104,23
51800000706,23
51800000402,23
51800000601,23
51800000501,23
51800000304,23
51800000403,23
51800000202,23
51800000102,23
51800000603,23
51800000301,23
51800000604,23
51800000602,23
51800000404,23
51800000401,23
51800000203,23
51800000605,23
51800000302,23
51800000101,23
51800000305,23
51800000405,23
51800000201,23
51690000004,35
51690000002,35
51690000005,35
51690000003,35
51690000001,35
51690000006,35
51710000104,18
51710000506,18
51710000106,18
51710000103,18
51710000501,18
51710000218,18
51710000212,19
51710000413,19
51710000408,19
51710000509,18
51710000503,18
51710000505,18
51710000512,19
51710000201,19
51710000207,19
51710000208,19
51710000101,18
51710000217,18
51710000102,18
51710000311,19
51710000414,19
51710000402,19
51710000504,19
51710000214,19
51710000215,18
51710000511,18
51710000310,19
51710000405,19
51710000302,19
51710000406,19
51710000404,19
51710000415,19
51710000303,19
51710000507,18
51710000309,19
51710000409,19
51710000211,19
51710000313,19
51710000203,19
51710000411,19
51710000306,19
51710000301,19
51710000213,19
51710000210,19
51710000305,19
51710000510,18
51710000412,19
51710000304,19
51153001061,9
51153000114,9
51153000315,7
51153001062,8
51135000202,24
51740000022,23
51740000024,23
51740000011,23
51740000031,23
51740000020,23
51740000036,23
51740000021,23
51740000013,23
51740000035,23
51740000037,23
51740000005,23
51740000014,23
51740000019,23
51740000023,23
51740000009,23
51740000039,23
51740000038,23
51740000034,23
51740000032,23
51740000028,23
51740000027,23
51740000007,23
51740000026,23
