"id-virginia-va_adj_vtds20-40-StateSenateDistricts",assignment
51161000104,36
51161000505,36
51161000506,36
51161000503,36
51161000504,36
51161000501,36
51161000507,36
51161000406,36
51161000502,36
51161000405,36
51161000402,36
51161000403,36
51161000305,36
51161000302,36
51161000301,36
51161000306,36
51161000404,36
51161000304,36
51161000303,36
51161000204,36
51161000206,36
51161000202,36
51161000201,36
51161000203,36
51161000205,36
51027000201,39
51017000301,30
51017000401,30
51017000501,30
51017000101,30
51017000102,30
51017000302,30
51017000201,30
51800000702,17
51800000704,17
51800000204,17
51800000504,17
51800000502,20
51800000104,17
51800000706,17
51800000402,20
51800000601,17
51800000501,20
51800000304,17
51800000403,17
51800000202,17
51800000102,17
51800000603,17
51800000301,20
51800000604,17
51800000602,17
51800000404,17
51800000401,20
51800000203,17
51800000605,17
51800000302,17
51800000101,17
51800000305,17
51800000405,20
51800000201,18
51690000004,33
51690000002,33
51690000005,33
51690000003,33
51690000001,33
51690000006,33
51710000104,22
51710000506,22
51710000106,22
51710000103,22
51710000501,22
51710000218,22
51710000212,21
51710000413,21
51710000408,21
51710000509,22
51710000503,22
51710000505,22
51710000512,22
51710000201,22
51710000207,21
51710000208,22
51710000101,22
51710000217,22
51710000102,22
51710000311,21
51710000414,21
51710000402,21
51710000504,22
51710000214,21
51710000215,22
51710000511,22
51710000310,21
51710000405,21
51710000302,21
51710000406,22
51710000404,21
51710000415,21
51710000303,21
51710000507,22
51710000309,21
51710000409,21
51710000211,21
51710000313,21
51710000203,21
51710000411,21
51710000306,21
51710000301,21
51710000213,21
51710000210,21
51710000305,21
51710000510,22
51710000412,21
51710000304,21
51153001061,10
51153000114,7
51153000315,11
51153001062,10
51135000202,20
51740000022,17
51740000024,17
51740000011,17
51740000031,17
51740000020,17
51740000036,17
51740000021,17
51740000013,17
51740000035,17
51740000037,17
51740000005,17
51740000014,17
51740000019,17
51740000023,17
51740000009,17
51740000039,17
51740000038,17
51740000034,17
51740000032,17
51740000028,17
51740000027,17
51740000007,17
51740000026,17
51740000016,17
51740000017,17
51740000029,17
51740000033,17
51740000010,17
51740000025,17
51740000030,17
51740000001,17
51683000004,10
51683000003,10
51683000005,10
51683000001,10
51683000006,10
51683000002,10
51185000502,38
51185000501,38
51185000104,38
51185000102,38
51185000103,38
51185000112,38
51185000101,38
51185000106,38
51185000107,38
51185000109,38
51185000209,38
51185000401,38
51185000402,38
51185000214,38
51185000207,38
51185000203,38
51185000204,38
51185000303,38
51185000301,38
51185000302,38
51620000201,20
51620000101,20
51023000102,37
51023000101,37
51023000202,37
51023000201,37
51023000302,37
51023000301,37
51023000406,37
51023000403,37
51023000501,37
51023000502,37
51077000203,38
51077000108,38
51077000202,38
51077000101,38
51077000302,38
51077000301,38
51077000403,38
51077000402,38
51077004012,38
51077004011,38
51077000106,38
51077000105,38
51077000104,38
51077000107,38
51077000102,38
51077000103,38
51810000049,23
51810000003,23
51810000076,23
51810000002,23
51810000034,24
51810000061,21
51810000033,24
51810000064,24
51810000071,24
51810000098,24
51810000060,24
51810000082,23
51810000079,23
51810000043,24
51810000056,23
51810000031,24
51810000050,23
51810000013,23
51810000030,23
51810000039,23
51810000040,23
51810000023,23
51810000072,23
51810000020,22
51810000059,22
51810000019,22
51810000069,21
51810000077,23
51810000004,23
51810000029,23
51810000012,23
51810000038,22
51810000093,21
51810000021,21
51810000011,23
51810000075,23
51810000010,23
51810000016,22
51810000052,24
51810000026,23
51810000036,23
51810000025,23
51810000037,22
51810000088,24
51810000005,23
51810000018,22
51810000015,22
51810000091,24
51810000045,24
51810000073,24
51810000087,24
51810000081,24
51810000058,24
51810000054,24
51810000080,24
51810000046,24
51810000085,24
51810000068,24
51810000027,24
51810000097,24
51810000047,23
51810000008,23
51810000066,24
51810000083,23
51810000053,23
51810000051,24
51810000057,21
51810000041,21
51810000090,22
51810000017,22
51810000096,23
51810000094,23
51810000062,24
51810000074,24
51810000014,23
51810000055,23
51810000099,24
51810000007,23
51810000009,23
51810000067,23
51810000048,23
51810000086,22
51810000089,24
51810000035,24
51810000070,23
51810000095,23
51810000006,23
51810000001,23
51810000063,23
51810000042,24
51810000100,24
51810000032,24
51810000078,24
51810000024,24
51810000022,23
51810000044,24
51810000084,24
51810000092,23
51810000028,23
51810000065,24
51685000002,10
51685000001,10
51015000103,30
51015000101,30
51015000102,34
51015000201,34
51075000402,31
51001000101,22
51001000202,22
51001000201,22
51001000301,22
51001000601,22
51001000701,22
51001000602,22
51001000501,22
51001000901,22
51001000402,22
51001000401,22
51001000403,22
51001000502,22
51001000803,22
51001000802,22
51001000801,22
51820000004,34
51820000002,34
51660000203,30
51660000201,30
51660000101,30
51660000202,30
51660000105,30
51660000103,30
51660000102,30
51660000104,30
51167000201,39
51167000103,39
51167000304,39
51167000202,39
51167000101,39
51167000102,39
51167000601,39
51167000303,39
51167000501,39
51167000302,39
51167000602,39
51167000301,39
51167000402,39
51167000401,39
51167000403,39
51820000003,34
51820000001,34
51015000202,30
51015000203,30
51015000301,30
51015000304,30
51015000303,30
51015000302,30
51015000405,30
51015000403,30
51015000401,30
51015000404,30
51015000402,30
51015000502,30
51015000504,30
51015000501,30
51015000503,30
51015000602,30
51015000601,30
51015000603,34
51015000801,34
51015000803,30
51015000802,34
51193000201,26
51193000101,26
51193000102,26
51193000202,26
