GEOID20,assignment
29095000357,1
29095000362,1
29095BR1611,1
29003000020,2
29003000017,2
29003000021,2
29003000012,2
29003000015,2
29003000010,2
29003000019,2
29003000016,2
29003000006,2
29003000007,2
29003000003,2
29003000002,2
29003000011,2
29003000005,2
29003000004,2
29003000013,2
29003000014,2
29003000009,2
29003000008,2
29003000018,2
29005000004,2
29005000006,2
29005000002,2
29005000005,2
29005000007,2
29227000002,2
29227000004,2
29227000003,2
29227000005,2
29227000006,2
29227000007,2
29227000008,2
29129000003,2
29129000004,2
29129000005,2
29129000006,2
29129000002,2
29129000007,2
29129000008,2
29129000009,2
29129000010,2
29081000010,2
2908116-012,2
29081000003,2
29081000009,2
29081000008,2
29081000004,2
29063000010,2
29171000006,2
29171000004,2
29171000010,2
29171000002,2
29171000003,2
29171000012,2
29063000008,2
29025000284,2
29079000002,2
29079000003,2
29079000004,2
29079000005,2
29079000006,2
29079000007,2
29079000008,2
29079000009,2
29079000010,2
29079000011,2
29079000013,2
29079000015,2
29079000014,2
29079000012,2
29079000016,2
29025000277,2
29087000002,2
29087000007,2
29087000004,2
29087000003,2
29087000005,2
29087000006,2
29147000012,2
29049000003,2
29063000005,2
29063000006,2
29063000007,2
29147000018,2
29211000008,2
29211000012,2
29063000009,2
29211000002,2
29063000002,2
29063000012,2
29063000003,2
29211000010,2
29211000007,2
29211000015,2
29063000011,2
29063000004,2
29147000005,2
29075000002,2
29075000009,2
29021000011,2
29171000013,2
29075000004,2
29021000002,2
29061000012,2
29061000016,2
29061000008,2
29021000001,2
29061000009,2
29061000002,2
29021000006,2
29021000004,2
29021000021,2
29147000013,2
29021000022,2
29147000014,2
29021000020,2
29147000009,2
29021000016,2
29147000016,2
29147000011,2
29147000015,2
29021000033,2
29021000034,2
29021000031,2
29147000019,2
29147000020,2
29147000017,2
29021000024,2
29147000004,2
29147000006,2
29021000023,2
29021000012,2
29147000008,2
29021000010,2
29147000003,2
29075000012,2
29021000008,2
29075000003,2
29021000014,2
29075000006,2
29075000010,2
29075000011,2
29075000008,2
29075000014,2
29075000013,2
29075000005,2
29075000007,2
29147000007,2
29147000002,2
29147000010,2
29145000004,3
29145000012,3
29145000007,3
29145000013,3
29145000002,3
29145000017,3
29145000005,3
29145000015,3
29145000014,3
29145000016,3
29145000018,3
29145000003,3
29145000011,3
2914516-029,3
2914516-030,3
2914516-032,3
2914516-027,3
2914516-021,3
2914516-028,3
29145000009,3
29119000002,3
29119000003,3
29097000020,3
29097000023,3
29097000017,3
29097000018,3
29097000022,3
29097000019,3
29097000005,3
29097000047,3
29097000043,3
29097000016,3
29009000020,3
29009000002,3
29097000008,3
29097000014,3
29097000012,3
29097000009,3
29097000046,3
29097000040,3
29097000045,3
29097000044,3
29097000021,3
29119000004,3
29009000004,3
29119000006,3
29097000013,3
29119000011,3
29097000027,3
29097000024,3
29097000029,3
29119000010,3
29119000014,3
29119000012,3
29119000016,3
29119000017,3
29119000015,3
29119000008,3
29009000014,3
29119000020,3
29009000019,3
29009000009,3
29119000009,3
29097000010,3
29119000018,3
29097000026,3
2909716-026,3
29119000013,3
29097000006,3
29097000041,3
29119000019,3
29119000007,3
29009000022,3
29145000010,3
29145000008,3
29145000006,3
29047000035,4
29095000148,4
29047000028,4
29095000300,4
29095000192,4
29095000201,4
29095000159,4
29095000437,4
29095000152,4
29095000428,4
29095000299,4
29095000155,4
29095000208,4
29095000149,4
29095000175,4
29095000151,4
29095000157,4
29095K16218,4
29095000306,4
29095000214,4
29095000416,4
29095000153,4
29095K16106,4
29095000194,4
29095000308,4
29095000438,4
29095K16316,4
29095000215,4
29095000216,4
29095000207,4
29095000427,4
29095000311,4
29095000414,4
29095000213,4
29095000303,4
29095000307,4
29095000150,4
29095000205,4
29095000312,4
29095000305,4
29095000304,4
29095000422,4
29095000313,4
29165000024,4
29165000039,4
29165000021,4
29165000042,4
29165000040,4
29165000033,4
29165000012,4
29165000020,4
29165000026,4
29165000027,4
29165000032,4
29165000015,4
29165000019,4
29165000013,4
29165000028,4
29165000002,4
29165000003,4
29165000023,4
29165000025,4
29165000004,4
29165000010,4
29165000035,4
29165000031,4
29165000017,4
29095000220,4
29095000198,4
29095KC1311,4
29095000202,4
29095000195,4
29095000190,4
29095KC1314,4
29095000191,4
29095000212,4
29095000210,4
29095000209,4
29095000204,4
29095KC1504,4
29095000193,4
29095000156,4
29095KC1212,4
29095KC1310,4
29095000217,4
29095000211,4
29095000219,4
29095000218,4
29095000298,4
29095000415,4
29047000037,4
29095000301,4
29095000310,4
29047000046,4
29095000185,4
29047000029,4
29047000040,4
29047000014,5
29047000048,5
29047000031,5
29047000054,5
29047000015,5
29047000009,5
29047000012,5
29047000010,5
29047000013,5
29047000023,5
29047000053,5
29047000024,5
29047000017,5
29047000022,5
29047000021,5
29047000027,5
29047000066,5
29047000011,5
29047000069,5
29047000067,5
29047000060,5
29047000026,5
29047000070,5
2904716-216,5
